t;T1;T2;P1;P2
0;18;13;145;137
1;20;12.8660254;NA;NA
2;21.46410162;12.5;NA;NA
3;22;12;NA;NA
4;21.46410162;11.5;NA;NA
5;20;11.1339746;137;127
6;18;11;NA;NA
7;16;11.1339746;NA;NA
8;14.53589838;11.5;NA;NA
9;14;12;NA;NA
10;14.53589838;12.5;197;191
11;16;12.8660254;NA;NA
12;18;13;NA;NA
13;20;12.8660254;NA;NA
14;21.46410162;12.5;NA;NA
15;22;12;349;206
16;21.46410162;11.5;NA;NA
17;20;11.1339746;NA;NA
18;18;11;NA;NA
19;16;11.1339746;NA;NA
20;14.53589838;11.5;352;254
21;14;12;NA;NA
22;14.53589838;12.5;NA;NA
23;16;12.8660254;NA;NA
24;18;13;NA;NA
25;20;12.8660254;515;443
26;21.46410162;12.5;NA;NA
27;22;12;NA;NA
28;21.46410162;11.5;NA;NA
29;20;11.1339746;NA;NA
30;18;11;592;379
31;16;11.1339746;NA;NA
32;14.53589838;11.5;NA;NA
33;14;12;NA;NA
34;14.53589838;12.5;NA;NA
35;16;12.8660254;637;683
36;18;13;NA;NA
37;20;12.8660254;NA;NA
38;21.46410162;12.5;NA;NA
39;22;12;NA;NA
40;21.46410162;11.5;868;684
41;20;11.1339746;NA;NA
42;18;11;NA;NA
43;16;11.1339746;NA;NA
44;14.53589838;11.5;NA;NA
45;14;12;745;866
46;14.53589838;12.5;NA;NA
47;16;12.8660254;NA;NA
48;18;13;NA;NA
49;20;12.8660254;NA;NA
50;21.46410162;12.5;975;1116
51;22;12;NA;NA
52;21.46410162;11.5;NA;NA
53;20;11.1339746;NA;NA
54;18;11;NA;NA
55;16;11.1339746;894;1075
56;14.53589838;11.5;NA;NA
57;14;12;NA;NA
58;14.53589838;12.5;NA;NA
59;16;12.8660254;NA;NA
60;18;13;953;1443
61;20;12.8660254;NA;NA
62;21.46410162;12.5;NA;NA
63;22;12;NA;NA
64;21.46410162;11.5;NA;NA
65;20;11.1339746;1005;1329
66;18;11;NA;NA
67;16;11.1339746;NA;NA
68;14.53589838;11.5;NA;NA
69;14;12;NA;NA
70;14.53589838;12.5;986;1620
71;16;12.8660254;NA;NA
72;18;13;NA;NA
73;20;12.8660254;NA;NA
74;21.46410162;12.5;NA;NA
75;22;12;1042;1657
76;21.46410162;11.5;NA;NA
77;20;11.1339746;NA;NA
78;18;11;NA;NA
79;16;11.1339746;NA;NA
80;14.53589838;11.5;964;1674
81;14;12;NA;NA
82;14.53589838;12.5;NA;NA
83;16;12.8660254;NA;NA
84;18;13;NA;NA
85;20;12.8660254;1013;1805
86;21.46410162;12.5;NA;NA
87;22;12;NA;NA
88;21.46410162;11.5;NA;NA
89;20;11.1339746;NA;NA
90;18;11;999;1765
91;16;11.1339746;NA;NA
92;14.53589838;11.5;NA;NA
93;14;12;NA;NA
94;14.53589838;12.5;NA;NA
95;16;12.8660254;988;1946
96;18;13;NA;NA
97;20;12.8660254;NA;NA
98;21.46410162;12.5;NA;NA
99;22;12;NA;NA
100;21.46410162;11.5;1013;1878
